campaign_id,channel_id,category,channel,budget,spend,tracking_code,campaign_channel_id
10030,301,Direct,Alliance Marketing,9500,9880,3QYRMW,10030DI3QYRMW
10031,604,In-Store,POS displays,5200,6188,4LZPMG,10031IN4LZPMG
10032,812,Search,SEO,2300,1817,0TNUMT,10032SE0TNUMT
10033,721,Web,Amazon Store,2100,2625,6EVIFW,10033WE6EVIFW
10034,203,Content,Presentation,4000,4760,0GUDCH,10034CO0GUDCH
10035,702,Mobile,SMS,3900,4056,4LFSGB,10035MO4LFSGB
10036,908,Social,Twitter,800,744,4YAPTO,10036SO4YAPTO
10037,908,Social,Twitter,800,1040,7IUDVU,10037SO7IUDVU
10038,702,Mobile,SMS,3900,3822,0OIERX,10038MO0OIERX
10038,903,Social,Facebook Post,700,749,1BHGEQ,10038SO1BHGEQ
10039,202,Content,Infographics,2900,2320,7QOFAB,10039CO7QOFAB
10039,401,Email,Email Blast,2800,3584,8TWMZM,10039EM8TWMZM
10039,722,Web,Ebay Store,9500,7980,5SDTMJ,10039WE5SDTMJ
10040,906,Social,LinkedIn Group,1400,1372,6DWUIH,10040SO6DWUIH
10040,723,Web,Microsites,2000,1520,8HNQSO,10040WE8HNQSO
10041,723,Web,Microsites,2000,1880,1MTYYN,10041WE1MTYYN
10041,722,Web,Ebay Store,9500,8360,1YMWLG,10041WE1YMWLG
10042,801,PR,Press Release,4700,4371,5FYEPO,10042PR5FYEPO
10042,723,Web,Microsites,2000,2520,6OJJMD,10042WE6OJJMD
10042,402,Email,Email Signature,1900,969,9UOYEQ,10042EM9UOYEQ
10042,909,Social,Twitter account,1800,1404,7NDKQS,10042SO7NDKQS
10042,811,Search,PPC,6900,6555,4WFONI,10042SE4WFONI
10042,202,Content,Infographics,2900,3016,3GSSJO,10042CO3GSSJO
10043,903,Social,Facebook Post,700,539,0IHZJM,10043SO0IHZJM
10044,802,PR,Public Relations,6300,4158,3UFOMM,10044PR3UFOMM
10045,908,Social,Twitter,800,1040,4ZBUKW,10045SO4ZBUKW
10045,910,Social,Youtube channel,800,744,9KKNAM,10045SO9KKNAM
10045,201,Content,Content marketing,2800,2856,1EVRSS,10045CO1EVRSS
10045,812,Search,SEO,2300,2047,1JPRCN,10045SE1JPRCN
10045,902,Social,Facebook Page,2300,1771,7WCTTF,10045SO7WCTTF
10046,908,Social,Twitter,800,800,9ZVRGE,10046SO9ZVRGE
10047,901,Social,Blog,700,735,6NDNQD,10047SO6NDNQD
10047,202,Content,Infographics,2900,2088,5OGQXY,10047CO5OGQXY
10047,906,Social,LinkedIn Group,1400,1400,2MKOCH,10047SO2MKOCH
10048,114,Advertising,YouTube Pre-roll,1900,2451,7VFTPF,10048AD7VFTPF
10049,901,Social,Blog,700,504,3UNSTI,10049SO3UNSTI
10049,205,Content,Research Paper,5900,6313,5VPWSC,10049CO5VPWSC
10049,109,Advertising,Paid Review,1200,1188,5CRSSZ,10049AD5CRSSZ
10049,907,Social,LinkedIn Post,1400,1624,3NHSNI,10049SO3NHSNI
10049,359,Telephone,Hold Message,2400,2064,5YZOFG,10049TE5YZOFG
10049,401,Email,Email Blast,2800,2016,5HYJUG,10049EM5HYJUG
10050,907,Social,LinkedIn Post,1400,1596,3KHFWC,10050SO3KHFWC
10050,205,Content,Research Paper,5900,5782,3GNMXW,10050CO3GNMXW
10051,902,Social,Facebook Page,2300,2277,5SUALO,10051SO5SUALO
10052,605,In-Store,Signage,3200,3392,9AHVHV,10052IN9AHVHV
10052,905,Social,Influencer outreach,2100,2079,3LOBMG,10052SO3LOBMG
10053,303,Direct,Postal Mail,4800,3024,0ZVFWG,10053DI0ZVFWG
10054,205,Content,Research Paper,5900,5664,7KGZHZ,10054CO7KGZHZ
10055,801,PR,Press Release,4700,4418,3YIUHU,10055PR3YIUHU
10056,206,Content,Video,11700,9828,2JXRWV,10056CO2JXRWV
10056,201,Content,Content marketing,2800,1568,7ODDFP,10056CO7ODDFP
10057,108,Advertising,Mobile Ad,800,824,0RUAWX,10057AD0RUAWX
10058,202,Content,Infographics,2900,2581,2IULJH,10058CO2IULJH
10059,114,Advertising,YouTube Pre-roll,1900,2204,1CATLA,10059AD1CATLA
10060,104,Advertising,In-game,1400,1092,2GEZMQ,10060AD2GEZMQ
10061,303,Direct,Postal Mail,4800,3888,3BLENE,10061DI3BLENE
10061,503,Event,Prizes/Exhibitions,7600,5928,3YLXWB,10061EV3YLXWB
10061,206,Content,Video,11700,15678,4NNELH,10061CO4NNELH
10062,106,Advertising,LinkedIn Ad,1000,1080,8JZLMY,10062AD8JZLMY
10063,603,In-Store,Loyalty card,2700,2403,1YVMIY,10063IN1YVMIY
10063,802,PR,Public Relations,6300,6993,1FLMRW,10063PR1FLMRW
10064,107,Advertising,Magazine Ad,4300,3741,6CDQVI,10064AD6CDQVI
10064,604,In-Store,POS displays,5200,5616,1PSVTF,10064IN1PSVTF
10064,602,In-Store,Kiosk,4000,3760,6MRKGD,10064IN6MRKGD
10065,109,Advertising,Paid Review,1200,1068,4SZTTD,10065AD4SZTTD
10065,302,Direct,Catalogue,24700,26182,6ABSRW,10065DI6ABSRW
10065,905,Social,Influencer outreach,2100,2226,2PSLAU,10065SO2PSLAU
10065,907,Social,LinkedIn Post,1400,1064,8UBQBX,10065SO8UBQBX
10065,904,Social,Forum,3900,3549,2PRYEL,10065SO2PRYEL
10066,105,Advertising,Insert,4400,4972,5UOFIX,10066AD5UOFIX
10066,702,Mobile,SMS,3900,4017,9QFTNO,10066MO9QFTNO
10067,204,Content,Report Sponsorship,3600,2232,7OEEWY,10067CO7OEEWY
10068,721,Web,Amazon Store,2100,2163,8MKMRN,10068WE8MKMRN
10068,722,Web,Ebay Store,9500,10450,2JGVUL,10068WE2JGVUL
10069,359,Telephone,Hold Message,2400,2400,4ZLGIU,10069TE4ZLGIU
10070,601,In-Store,Display,14000,11900,2RZMWB,10070IN2RZMWB
10070,604,In-Store,POS displays,5200,5252,6XOQMY,10070IN6XOQMY
10071,902,Social,Facebook Page,2300,2576,5QSNVJ,10071SO5QSNVJ
10071,702,Mobile,SMS,3900,3471,5ZFZNJ,10071MO5ZFZNJ
10071,605,In-Store,Signage,3200,3872,0TFHJO,10071IN0TFHJO
10071,802,PR,Public Relations,6300,8631,6TLFJL,10071PR6TLFJL
10071,723,Web,Microsites,2000,2300,9LMYXH,10071WE9LMYXH
10071,910,Social,Youtube channel,800,680,2YSTRU,10071SO2YSTRU
10071,812,Search,SEO,2300,2300,5CJATT,10071SE5CJATT
10071,401,Email,Email Blast,2800,1792,7YQLYT,10071EM7YQLYT
10071,908,Social,Twitter,800,864,5BEOFI,10071SO5BEOFI
10071,723,Web,Microsites,2000,2320,1DVWRX,10071WE1DVWRX
10071,901,Social,Blog,700,763,5SJFGK,10071SO5SJFGK
10071,604,In-Store,POS displays,5200,5668,6FWHDZ,10071IN6FWHDZ
10072,401,Email,Email Blast,2800,3276,4NCLZD,10072EM4NCLZD
10072,902,Social,Facebook Page,2300,2737,7XCJAA,10072SO7XCJAA
10072,205,Content,Research Paper,5900,5664,9INICX,10072CO9INICX
10073,605,In-Store,Signage,3200,2080,7HXYYX,10073IN7HXYYX
10073,402,Email,Email Signature,1900,2280,6ZCZFJ,10073EM6ZCZFJ
10074,904,Social,Forum,3900,4095,3QCYDA,10074SO3QCYDA
10075,205,Content,Research Paper,5900,6077,5KXQMG,10075CO5KXQMG
10076,369,Telephone,Telesales,42200,36292,8UEIMF,10076TE8UEIMF
10076,201,Content,Content marketing,2800,1568,0LZXQM,10076CO0LZXQM
10077,501,Event,Brand Hijack,28900,35547,7LNVCN,10077EV7LNVCN
10077,909,Social,Twitter account,1800,1602,7DEHXQ,10077SO7DEHXQ
10078,901,Social,Blog,700,854,1CMMQB,10078SO1CMMQB
10079,603,In-Store,Loyalty card,2700,2781,5UHJWS,10079IN5UHJWS
10079,902,Social,Facebook Page,2300,2714,1ZPWUW,10079SO1ZPWUW
10080,109,Advertising,Paid Review,1200,1284,9PVRJD,10080AD9PVRJD
10080,114,Advertising,YouTube Pre-roll,1900,1748,0ZHUBW,10080AD0ZHUBW
10081,401,Email,Email Blast,2800,2268,8CGKFO,10081EM8CGKFO
10082,721,Web,Amazon Store,2100,2289,5ZWHSN,10082WE5ZWHSN
10083,401,Email,Email Blast,2800,2268,4WRTIO,10083EM4WRTIO
10083,401,Email,Email Blast,2800,3416,1NDRJB,10083EM1NDRJB
10084,402,Email,Email Signature,1900,1938,8TDBLJ,10084EM8TDBLJ
10084,301,Direct,Alliance Marketing,9500,7030,5QMVPB,10084DI5QMVPB
10084,901,Social,Blog,700,686,4DQBKL,10084SO4DQBKL
10084,907,Social,LinkedIn Post,1400,1358,6PEZUD,10084SO6PEZUD
10084,114,Advertising,YouTube Pre-roll,1900,1767,2AOWJC,10084AD2AOWJC
10084,402,Email,Email Signature,1900,1406,4DZKKQ,10084EM4DZKKQ
10085,903,Social,Facebook Post,700,665,6CQBWV,10085SO6CQBWV
10086,401,Email,Email Blast,2800,2492,9DBVHA,10086EM9DBVHA
10086,601,In-Store,Display,14000,9100,9ICTII,10086IN9ICTII
10087,303,Direct,Postal Mail,4800,3312,0NBNBH,10087DI0NBNBH
10088,904,Social,Forum,3900,3705,5FAEIU,10088SO5FAEIU
10089,702,Mobile,SMS,3900,4251,5JJJFM,10089MO5JJJFM
10090,905,Social,Influencer outreach,2100,1848,7FPCQS,10090SO7FPCQS
10090,204,Content,Report Sponsorship,3600,2736,3HUFVC,10090CO3HUFVC
10090,811,Search,PPC,6900,7866,7DMOUZ,10090SE7DMOUZ
10091,502,Event,Events,64000,44800,3DJCMR,10091EV3DJCMR
10091,402,Email,Email Signature,1900,2185,0QSTUJ,10091EM0QSTUJ
10092,910,Social,Youtube channel,800,672,1WEHVO,10092SO1WEHVO
10093,205,Content,Research Paper,5900,5192,1JSCLJ,10093CO1JSCLJ
10093,203,Content,Presentation,4000,4040,2HQXZT,10093CO2HQXZT
10094,908,Social,Twitter,800,720,8MOYLU,10094SO8MOYLU
10095,801,PR,Press Release,4700,2820,5UDJAP,10095PR5UDJAP
10095,902,Social,Facebook Page,2300,1909,9ESJOO,10095SO9ESJOO
10096,902,Social,Facebook Page,2300,2208,5ETJBB,10096SO5ETJBB
10096,401,Email,Email Blast,2800,3500,7JTBAZ,10096EM7JTBAZ
10096,811,Search,PPC,6900,6348,3WHBGG,10096SE3WHBGG
10096,908,Social,Twitter,800,872,1YHJFJ,10096SO1YHJFJ
10096,303,Direct,Postal Mail,4800,4512,4DCXQE,10096DI4DCXQE
10097,304,Direct,Swag,7400,7252,2IOGNV,10097DI2IOGNV
10097,114,Advertising,YouTube Pre-roll,1900,2337,7QPHUK,10097AD7QPHUK
10098,802,PR,Public Relations,6300,6930,0GZJNG,10098PR0GZJNG
10098,205,Content,Research Paper,5900,7198,2VCMOI,10098CO2VCMOI
10098,401,Email,Email Blast,2800,3024,5IEWJF,10098EM5IEWJF
10099,721,Web,Amazon Store,2100,2100,8PTFNJ,10099WE8PTFNJ
10099,359,Telephone,Hold Message,2400,2016,3UISNZ,10099TE3UISNZ
10099,604,In-Store,POS displays,5200,3484,7XNOZY,10099IN7XNOZY
10100,203,Content,Presentation,4000,2640,7CENNW,10100CO7CENNW
10100,359,Telephone,Hold Message,2400,2208,6CIQZN,10100TE6CIQZN
10100,907,Social,LinkedIn Post,1400,1316,1DAZXB,10100SO1DAZXB
10100,503,Event,Prizes/Exhibitions,7600,4788,0QVSXR,10100EV0QVSXR
10101,204,Content,Report Sponsorship,3600,4284,2AELPB,10101CO2AELPB
10102,802,PR,Public Relations,6300,7056,6JIPFC,10102PR6JIPFC
10102,902,Social,Facebook Page,2300,2024,7TFQOM,10102SO7TFQOM
10102,908,Social,Twitter,800,800,4ICLOY,10102SO4ICLOY
10102,201,Content,Content marketing,2800,2296,7KUJXF,10102CO7KUJXF
10102,906,Social,LinkedIn Group,1400,1638,2GIRXF,10102SO2GIRXF
10103,201,Content,Content marketing,2800,3360,3XRSWG,10103CO3XRSWG
10104,204,Content,Report Sponsorship,3600,2700,3BYLCM,10104CO3BYLCM
10105,202,Content,Infographics,2900,3248,3WXMEJ,10105CO3WXMEJ
10105,201,Content,Content marketing,2800,1932,6LSHMV,10105CO6LSHMV
10105,206,Content,Video,11700,7605,1RWDRK,10105CO1RWDRK
10106,303,Direct,Postal Mail,4800,5952,3PZQDM,10106DI3PZQDM
10106,202,Content,Infographics,2900,2262,8SCMVW,10106CO8SCMVW
10107,402,Email,Email Signature,1900,1729,9XJVNC,10107EM9XJVNC
10107,802,PR,Public Relations,6300,6615,1OZURY,10107PR1OZURY
10108,101,Advertising,Aggregator,700,812,7NULKV,10108AD7NULKV
10108,605,In-Store,Signage,3200,1536,7ZEFMU,10108IN7ZEFMU
10109,401,Email,Email Blast,2800,2772,0GYUSW,10109EM0GYUSW
10110,909,Social,Twitter account,1800,1422,4LNEYC,10110SO4LNEYC
10110,723,Web,Microsites,2000,2100,5TXXVA,10110WE5TXXVA
10110,112,Advertising,Receipt Code,2400,1896,0PSRCD,10110AD0PSRCD
10111,206,Content,Video,11700,12636,2QXOAF,10111CO2QXOAF
10111,812,Search,SEO,2300,2093,8HWOSE,10111SE8HWOSE
10111,301,Direct,Alliance Marketing,9500,7695,5NCQVR,10111DI5NCQVR
10111,303,Direct,Postal Mail,4800,6000,0WARED,10111DI0WARED
10111,101,Advertising,Aggregator,700,910,4PAFBN,10111AD4PAFBN
10111,201,Content,Content marketing,2800,3444,8BLXIB,10111CO8BLXIB
10111,812,Search,SEO,2300,2760,4YTNPC,10111SE4YTNPC
10112,905,Social,Influencer outreach,2100,2058,1TUOVX,10112SO1TUOVX
10113,401,Email,Email Blast,2800,3164,6TJMBS,10113EM6TJMBS
10113,801,PR,Press Release,4700,5875,0KIQUI,10113PR0KIQUI
10114,303,Direct,Postal Mail,4800,3792,6VFGNF,10114DI6VFGNF
10114,722,Web,Ebay Store,9500,9215,6BORTD,10114WE6BORTD
10114,802,PR,Public Relations,6300,5544,5MFXIT,10114PR5MFXIT
10115,906,Social,LinkedIn Group,1400,1148,3STFUO,10115SO3STFUO
10116,201,Content,Content marketing,2800,2716,8QNLCW,10116CO8QNLCW
10116,204,Content,Report Sponsorship,3600,3204,3ELVBR,10116CO3ELVBR
10117,605,In-Store,Signage,3200,1664,4YXDAN,10117IN4YXDAN
10118,304,Direct,Swag,7400,7696,7WIDHP,10118DI7WIDHP
10118,101,Advertising,Aggregator,700,784,3WRXJX,10118AD3WRXJX
10119,104,Advertising,In-game,1400,1414,5BNGOC,10119AD5BNGOC
10120,204,Content,Report Sponsorship,3600,4032,5DPCXB,10120CO5DPCXB
10120,402,Email,Email Signature,1900,1273,8KGDSO,10120EM8KGDSO
10120,902,Social,Facebook Page,2300,2484,5MGXLB,10120SO5MGXLB
10120,811,Search,PPC,6900,4347,2WAUKV,10120SE2WAUKV
10121,702,Mobile,SMS,3900,4212,9AZSFB,10121MO9AZSFB
10122,201,Content,Content marketing,2800,2520,2IHOBT,10122CO2IHOBT
10122,702,Mobile,SMS,3900,3354,5RGDWW,10122MO5RGDWW
10123,908,Social,Twitter,800,696,3AWNCV,10123SO3AWNCV
10123,401,Email,Email Blast,2800,3080,7LHEGC,10123EM7LHEGC
10123,701,Mobile,Mobile App,3200,3840,9OXQDS,10123MO9OXQDS
10124,909,Social,Twitter account,1800,1944,3XQGXJ,10124SO3XQGXJ
10125,905,Social,Influencer outreach,2100,1596,8CHBVU,10125SO8CHBVU
10125,205,Content,Research Paper,5900,5192,8SFCNZ,10125CO8SFCNZ
10126,206,Content,Video,11700,11934,2LZWZE,10126CO2LZWZE
10126,304,Direct,Swag,7400,6882,2ILTFI,10126DI2ILTFI
10126,908,Social,Twitter,800,840,6RFPBD,10126SO6RFPBD
10126,107,Advertising,Magazine Ad,4300,4773,4QZOVO,10126AD4QZOVO
10127,304,Direct,Swag,7400,8510,1YULRN,10127DI1YULRN
10127,503,Event,Prizes/Exhibitions,7600,6156,6SHEWZ,10127EV6SHEWZ
10127,906,Social,LinkedIn Group,1400,700,0PQOPV,10127SO0PQOPV
10128,201,Content,Content marketing,2800,2828,1MXHWM,10128CO1MXHWM
10128,204,Content,Report Sponsorship,3600,2808,6KETQP,10128CO6KETQP
10128,906,Social,LinkedIn Group,1400,1344,2DJDZF,10128SO2DJDZF
10128,202,Content,Infographics,2900,2842,6YGICI,10128CO6YGICI
10129,902,Social,Facebook Page,2300,1909,2OXZVW,10129SO2OXZVW
10130,812,Search,SEO,2300,1863,9RAXTB,10130SE9RAXTB
10130,802,PR,Public Relations,6300,8064,7IUJBT,10130PR7IUJBT
10131,802,PR,Public Relations,6300,7560,7VRAXL,10131PR7VRAXL
10131,205,Content,Research Paper,5900,7316,5FNEEE,10131CO5FNEEE
10131,502,Event,Events,64000,39040,7VWSAO,10131EV7VWSAO
10131,203,Content,Presentation,4000,5800,5EXIUO,10131CO5EXIUO
10131,909,Social,Twitter account,1800,1656,5XCCTW,10131SO5XCCTW
10132,903,Social,Facebook Post,700,735,9CDZWC,10132SO9CDZWC
10133,114,Advertising,YouTube Pre-roll,1900,1064,0DZJSD,10133AD0DZJSD
10134,811,Search,PPC,6900,6486,1BHSSP,10134SE1BHSSP
10134,401,Email,Email Blast,2800,2044,5EGLFU,10134EM5EGLFU
10135,359,Telephone,Hold Message,2400,1488,4MCZZG,10135TE4MCZZG
10136,108,Advertising,Mobile Ad,800,672,3SCOZY,10136AD3SCOZY
10136,401,Email,Email Blast,2800,3192,6UJFKG,10136EM6UJFKG
10136,723,Web,Microsites,2000,1740,7NCCLZ,10136WE7NCCLZ
10136,402,Email,Email Signature,1900,1216,8KQXSL,10136EM8KQXSL
10137,203,Content,Presentation,4000,4240,5DNHVV,10137CO5DNHVV
10137,109,Advertising,Paid Review,1200,1176,2AXCET,10137AD2AXCET
10138,109,Advertising,Paid Review,1200,912,1UNGSG,10138AD1UNGSG
10139,106,Advertising,LinkedIn Ad,1000,1020,0XKCWV,10139AD0XKCWV
10139,901,Social,Blog,700,875,6WTPNA,10139SO6WTPNA
10140,108,Advertising,Mobile Ad,800,488,4NRXCB,10140AD4NRXCB
10140,114,Advertising,YouTube Pre-roll,1900,1615,5ECIID,10140AD5ECIID
10140,802,PR,Public Relations,6300,5670,2XMJGG,10140PR2XMJGG
10141,812,Search,SEO,2300,2139,2DAQOV,10141SE2DAQOV
10142,303,Direct,Postal Mail,4800,6192,6SBDKZ,10142DI6SBDKZ
10143,201,Content,Content marketing,2800,2576,7UVHWP,10143CO7UVHWP
10144,901,Social,Blog,700,301,1FLTXO,10144SO1FLTXO
10145,603,In-Store,Loyalty card,2700,2241,1FQPEZ,10145IN1FQPEZ
10146,906,Social,LinkedIn Group,1400,1260,8OODDN,10146SO8OODDN
10147,722,Web,Ebay Store,9500,14725,8XUJRQ,10147WE8XUJRQ
10148,304,Direct,Swag,7400,6068,4CIKEX,10148DI4CIKEX
10149,203,Content,Presentation,4000,2960,6TJZCP,10149CO6TJZCP
10150,114,Advertising,YouTube Pre-roll,1900,1102,4XUWPD,10150AD4XUWPD
10150,802,PR,Public Relations,6300,7182,4QENIT,10150PR4QENIT
10151,111,Advertising,Radio Ad,4100,5002,2ATMHN,10151AD2ATMHN
10151,401,Email,Email Blast,2800,2856,1SQMEO,10151EM1SQMEO
10152,402,Email,Email Signature,1900,1710,4OAADB,10152EM4OAADB
10153,503,Event,Prizes/Exhibitions,7600,9120,8DPDBN,10153EV8DPDBN
10154,812,Search,SEO,2300,1909,3UEMVZ,10154SE3UEMVZ
10154,605,In-Store,Signage,3200,3040,9IYVGK,10154IN9IYVGK
10155,359,Telephone,Hold Message,2400,1944,9CNPTD,10155TE9CNPTD
10155,303,Direct,Postal Mail,4800,5952,0MUKLJ,10155DI0MUKLJ
10156,109,Advertising,Paid Review,1200,960,9XOJBZ,10156AD9XOJBZ
10157,802,PR,Public Relations,6300,5922,6LXIGO,10157PR6LXIGO
10157,604,In-Store,POS displays,5200,3120,3TAOGY,10157IN3TAOGY
10157,722,Web,Ebay Store,9500,10545,4IENGH,10157WE4IENGH
10157,109,Advertising,Paid Review,1200,1068,5QSABW,10157AD5QSABW
10157,206,Content,Video,11700,8307,1MAZEB,10157CO1MAZEB
10158,114,Advertising,YouTube Pre-roll,1900,2014,6EYCLE,10158AD6EYCLE
10159,205,Content,Research Paper,5900,5369,3YHGOH,10159CO3YHGOH
10160,201,Content,Content marketing,2800,2968,0TPZCW,10160CO0TPZCW
10160,105,Advertising,Insert,4400,3608,3ZYSXW,10160AD3ZYSXW
10161,604,In-Store,POS displays,5200,5096,7RSSOI,10161IN7RSSOI
10161,801,PR,Press Release,4700,3337,9JEBZX,10161PR9JEBZX
10161,901,Social,Blog,700,483,7MIOHB,10161SO7MIOHB
10161,802,PR,Public Relations,6300,5796,8BXJZQ,10161PR8BXJZQ
10162,152,TV,Smart TV/Console App,23600,19588,8PXNRB,10162TV8PXNRB
10162,902,Social,Facebook Page,2300,2737,7RNTDV,10162SO7RNTDV
10162,604,In-Store,POS displays,5200,5356,2BHIUU,10162IN2BHIUU
10163,909,Social,Twitter account,1800,1404,7NMCAN,10163SO7NMCAN
10164,112,Advertising,Receipt Code,2400,1440,3IFQVB,10164AD3IFQVB
10164,604,In-Store,POS displays,5200,5564,0HAVYT,10164IN0HAVYT
10165,605,In-Store,Signage,3200,3616,6BAKPU,10165IN6BAKPU
10165,203,Content,Presentation,4000,4960,0ZSCFN,10165CO0ZSCFN
10165,905,Social,Influencer outreach,2100,1533,1KIQOO,10165SO1KIQOO
10165,501,Event,Brand Hijack,28900,17918,3ICDTG,10165EV3ICDTG
10166,107,Advertising,Magazine Ad,4300,3526,1GYDDO,10166AD1GYDDO
10166,603,In-Store,Loyalty card,2700,2592,1XNFQG,10166IN1XNFQG
10167,723,Web,Microsites,2000,2220,7QMEYH,10167WE7QMEYH
10168,901,Social,Blog,700,672,7OBORE,10168SO7OBORE
10169,702,Mobile,SMS,3900,4095,2HUIEQ,10169MO2HUIEQ
10169,721,Web,Amazon Store,2100,2037,6WDYOJ,10169WE6WDYOJ
10169,502,Event,Events,64000,59520,2IAPUO,10169EV2IAPUO
10170,201,Content,Content marketing,2800,2940,7DLWHJ,10170CO7DLWHJ
10171,304,Direct,Swag,7400,6438,1BLWMV,10171DI1BLWMV
10171,905,Social,Influencer outreach,2100,2478,5JSYVK,10171SO5JSYVK
10171,902,Social,Facebook Page,2300,1748,2RIPKV,10171SO2RIPKV
10171,907,Social,LinkedIn Post,1400,826,6MEMIL,10171SO6MEMIL
10171,811,Search,PPC,6900,5520,3QCLLY,10171SE3QCLLY
